founder_name,company_id,company_name,batch,status,tags,location,website,company_linkedin,short_description,num_founders,is_ai,is_devtools,is_saas,linkedin_slug,linkedin_profile_estimated,has_company_linkedin,linkedin_confidence,is_recent_batch,is_priority_industry
Daniel Lenton,26837,Ivy,W23,Active,"['Artificial Intelligence', 'Developer Tools', 'Machine Learning', 'Open Source', 'API']","London, United Kingdom",https://lets-unify.ai,https://www.linkedin.com/company/71523181,"Run any ML code, with any ML framework, on any hardware",1,True,True,False,daniel-lenton,https://www.linkedin.com/in/daniel-lenton,True,High,True,True
Hansel Hansel,27268,Materee,S22,Active,"['Construction', 'B2B']","Jakarta, Indonesia",https://materee.id,https://www.linkedin.com/company/materee-ycs22/,E-commerce platform for construction materials in Indonesia,2,False,False,True,hansel-hansel,https://www.linkedin.com/in/hansel-hansel,True,High,True,True
Steven Walentino,27268,Materee,S22,Active,"['Construction', 'B2B']","Jakarta, Indonesia",https://materee.id,https://www.linkedin.com/company/materee-ycs22/,E-commerce platform for construction materials in Indonesia,2,False,False,True,steven-walentino,https://www.linkedin.com/in/steven-walentino,True,High,True,True
Chris Navrides,27264,Radiant,S22,Active,"['B2B', 'Productivity', 'Enterprise', 'AI']",San Francisco,https://useradiant.com,https://www.linkedin.com/company/radiant-company,Actionable insights for engineering teams.,2,True,False,True,chris-navrides,https://www.linkedin.com/in/chris-navrides,True,High,True,True
Etienne Deguine,27264,Radiant,S22,Active,"['B2B', 'Productivity', 'Enterprise', 'AI']",San Francisco,https://useradiant.com,https://www.linkedin.com/company/radiant-company,Actionable insights for engineering teams.,2,True,False,True,etienne-deguine,https://www.linkedin.com/in/etienne-deguine,True,High,True,True
David Cox,27261,Integrated Reasoning,S22,Active,"['Artificial Intelligence', 'Developer Tools', 'Hard Tech', 'Hardware', 'SaaS']",San Francisco,https://integrated-reasoning.com,https://www.linkedin.com/company/integrated-reasoning,Specialized processors for solving NP-complete problems,1,True,True,True,david-cox,https://www.linkedin.com/in/david-cox,True,High,True,True
Nkiru Amadi-Emina,27262,Pivo Technology Inc,S22,Active,"['Fintech', 'Payments', 'B2B', 'Supply Chain', 'Neobank']","Lagos, Nigeria",http://www.pivo.africa,https://www.linkedin.com/company/75046532,Digital Bank for Freight Carriers in Africa.,2,True,False,True,nkiru-amadi-emina,https://www.linkedin.com/in/nkiru-amadi-emina,True,High,True,True
Ijeoma Akwiwu,27262,Pivo Technology Inc,S22,Active,"['Fintech', 'Payments', 'B2B', 'Supply Chain', 'Neobank']","Lagos, Nigeria",http://www.pivo.africa,https://www.linkedin.com/company/75046532,Digital Bank for Freight Carriers in Africa.,2,True,False,True,ijeoma-akwiwu,https://www.linkedin.com/in/ijeoma-akwiwu,True,High,True,True
Philip Eller,27258,AccessOwl,S22,Active,"['SaaS', 'B2B', 'Compliance', 'Security']",Mountain View,https://www.accessowl.io/,https://www.linkedin.com/company/accessowl,SaaS account provisioning & permissioning - for any tool,2,False,False,True,philip-eller,https://www.linkedin.com/in/philip-eller,True,High,True,True
Mathias Nestler,27258,AccessOwl,S22,Active,"['SaaS', 'B2B', 'Compliance', 'Security']",Mountain View,https://www.accessowl.io/,https://www.linkedin.com/company/accessowl,SaaS account provisioning & permissioning - for any tool,2,False,False,True,mathias-nestler,https://www.linkedin.com/in/mathias-nestler,True,High,True,True
Faisal Ilaiwi,27255,Intuned,S22,Active,"['SaaS', 'B2B', 'Productivity', 'Analytics', 'Data Engineering']","Kirkland, WA",https://intunedhq.com,https://www.linkedin.com/company/82287935,Working on somthing new,2,False,False,True,faisal-ilaiwi,https://www.linkedin.com/in/faisal-ilaiwi,True,High,True,True
Zawad Chowdhury,27255,Intuned,S22,Active,"['SaaS', 'B2B', 'Productivity', 'Analytics', 'Data Engineering']","Kirkland, WA",https://intunedhq.com,https://www.linkedin.com/company/82287935,Working on somthing new,2,False,False,True,zawad-chowdhury,https://www.linkedin.com/in/zawad-chowdhury,True,High,True,True
Jahangir Mohammed,27253,Cone,S22,Active,"['Fintech', 'SaaS', 'B2B']","Hyderabad, India",https://www.getcone.io,https://www.linkedin.com/company/getcone/,Modern finance and accounting platform for business,2,False,False,True,jahangir-mohammed,https://www.linkedin.com/in/jahangir-mohammed,True,High,True,True
Bharath Kumar Reddy,27253,Cone,S22,Active,"['Fintech', 'SaaS', 'B2B']","Hyderabad, India",https://www.getcone.io,https://www.linkedin.com/company/getcone/,Modern finance and accounting platform for business,2,False,False,True,bharath-kumar-reddy,https://www.linkedin.com/in/bharath-kumar-reddy,True,High,True,True
Mikael Nida,27251,Lotus,S22,Active,"['Fintech', 'SaaS', 'Open Source', 'Enterprise']",New York,http://uselotus.io,https://www.linkedin.com/company/uselotusio,Open-Core Pricing and Billing Engine,2,False,False,True,mikael-nida,https://www.linkedin.com/in/mikael-nida,True,High,True,True
Diego Escobedo,27251,Lotus,S22,Active,"['Fintech', 'SaaS', 'Open Source', 'Enterprise']",New York,http://uselotus.io,https://www.linkedin.com/company/uselotusio,Open-Core Pricing and Billing Engine,2,False,False,True,diego-escobedo,https://www.linkedin.com/in/diego-escobedo,True,High,True,True
Cameron Duncan,27250,Axle,S22,Active,"['Developer Tools', 'Fintech', 'B2B', 'API', 'Insurance']",New York,https://axle.insure,https://www.linkedin.com/company/axle-labs,Universal API for insurance,3,False,True,True,cameron-duncan,https://www.linkedin.com/in/cameron-duncan,True,High,True,True
Nihar Parikh,27250,Axle,S22,Active,"['Developer Tools', 'Fintech', 'B2B', 'API', 'Insurance']",New York,https://axle.insure,https://www.linkedin.com/company/axle-labs,Universal API for insurance,3,False,True,True,nihar-parikh,https://www.linkedin.com/in/nihar-parikh,True,High,True,True
Armaan Sikand,27250,Axle,S22,Active,"['Developer Tools', 'Fintech', 'B2B', 'API', 'Insurance']",New York,https://axle.insure,https://www.linkedin.com/company/axle-labs,Universal API for insurance,3,False,True,True,armaan-sikand,https://www.linkedin.com/in/armaan-sikand,True,High,True,True
Leia De Guzman,27248,Cambio,S22,Active,"['Artificial Intelligence', 'Real Estate', 'B2B', 'Climate', 'ClimateTech']",San Francisco,https://www.cambio.ai/,https://www.linkedin.com/company/cambioai/,Decarbonizing commercial real estate at scale,2,True,False,True,leia-de-guzman,https://www.linkedin.com/in/leia-de-guzman,True,High,True,True
Stephanie Grayson,27248,Cambio,S22,Active,"['Artificial Intelligence', 'Real Estate', 'B2B', 'Climate', 'ClimateTech']",San Francisco,https://www.cambio.ai/,https://www.linkedin.com/company/cambioai/,Decarbonizing commercial real estate at scale,2,True,False,True,stephanie-grayson,https://www.linkedin.com/in/stephanie-grayson,True,High,True,True
David Ouyang,27224,InVision Medical Technology,S22,Active,"['Artificial Intelligence', 'Health Tech', 'Diagnostics']",,http://invisionmedtech.com/,,AI Diagnosis of  Heart Disease,2,True,False,False,david-ouyang,https://www.linkedin.com/in/david-ouyang,False,Medium,True,True
Bryan He,27224,InVision Medical Technology,S22,Active,"['Artificial Intelligence', 'Health Tech', 'Diagnostics']",,http://invisionmedtech.com/,,AI Diagnosis of  Heart Disease,2,True,False,False,bryan-he,https://www.linkedin.com/in/bryan-he,False,Medium,True,True
Sneh Patel,27206,Be Golden,S22,Active,"['Artificial Intelligence', 'Generative AI', 'Machine Learning', 'Health Tech']",San Francisco,https://www.begolden.io,,Generative AI for administrative automation in healthcare ,2,True,False,False,sneh-patel,https://www.linkedin.com/in/sneh-patel,False,Medium,True,True
Kimberly Mcmanus,27206,Be Golden,S22,Active,"['Artificial Intelligence', 'Generative AI', 'Machine Learning', 'Health Tech']",San Francisco,https://www.begolden.io,,Generative AI for administrative automation in healthcare ,2,True,False,False,kimberly-mcmanus,https://www.linkedin.com/in/kimberly-mcmanus,False,Medium,True,True
Marius Montmany,27194,REVER,S22,Active,"['Fintech', 'SaaS', 'B2B', 'Logistics', 'E-commerce']",San Francisco,https://itsrever.com/,,Changing the way people buy by giving superpowers to shoppers,2,False,False,True,marius-montmany,https://www.linkedin.com/in/marius-montmany,False,Medium,True,True
Oriol Hernandez I Fajula,27194,REVER,S22,Active,"['Fintech', 'SaaS', 'B2B', 'Logistics', 'E-commerce']",San Francisco,https://itsrever.com/,,Changing the way people buy by giving superpowers to shoppers,2,False,False,True,oriol-hernandez-i-fajula,https://www.linkedin.com/in/oriol-hernandez-i-fajula,False,Medium,True,True
Vidhi Vakharia,27190,Abridge,S22,Active,"['Digital Freight Brokerage', 'B2B', 'Logistics', 'Supply Chain']",San Francisco,https://www.abridge.dev/,https://www.linkedin.com/company/82534063/admin/,Flexport for India,2,True,False,True,vidhi-vakharia,https://www.linkedin.com/in/vidhi-vakharia,True,High,True,True
Pradhith Konduri,27190,Abridge,S22,Active,"['Digital Freight Brokerage', 'B2B', 'Logistics', 'Supply Chain']",San Francisco,https://www.abridge.dev/,https://www.linkedin.com/company/82534063/admin/,Flexport for India,2,True,False,True,pradhith-konduri,https://www.linkedin.com/in/pradhith-konduri,True,High,True,True
Caroline Zhang,27185,Knowtex,S22,Active,"['Machine Learning', 'Health Tech', 'B2B', 'Productivity', 'Digital Health']",San Francisco,http://www.knowtex.ai/,https://www.linkedin.com/company/knowtexai,Making doctors 2x more efficient with AI note-taking & charge capture,2,True,False,True,caroline-zhang,https://www.linkedin.com/in/caroline-zhang,True,High,True,True
Jocelyn Kang,27185,Knowtex,S22,Active,"['Machine Learning', 'Health Tech', 'B2B', 'Productivity', 'Digital Health']",San Francisco,http://www.knowtex.ai/,https://www.linkedin.com/company/knowtexai,Making doctors 2x more efficient with AI note-taking & charge capture,2,True,False,True,jocelyn-kang,https://www.linkedin.com/in/jocelyn-kang,True,High,True,True
Rahul Pandey,27184,Taro,S22,Active,"['Developer Tools', 'Education', 'Community', 'Video', 'Creator Economy']","Redwood City, CA",https://joinTaro.com/,https://www.linkedin.com/company/jointaro,Premium membership for ambitious software engineers,2,False,True,False,rahul-pandey,https://www.linkedin.com/in/rahul-pandey,True,High,True,True
Alex Chiou,27184,Taro,S22,Active,"['Developer Tools', 'Education', 'Community', 'Video', 'Creator Economy']","Redwood City, CA",https://joinTaro.com/,https://www.linkedin.com/company/jointaro,Premium membership for ambitious software engineers,2,False,True,False,alex-chiou,https://www.linkedin.com/in/alex-chiou,True,High,True,True
Spandana Nakka,27178,Pump,S22,Active,"['FinOps', 'Fintech', 'SaaS', 'B2B', 'AI']",San Francisco,https://www.pump.co/,https://www.linkedin.com/company/pumpbilling/,The Fastest Way to Save 60% on AWS 🔥🔥,1,True,False,True,spandana-nakka,https://www.linkedin.com/in/spandana-nakka,True,High,True,True
Chun Jiang,27174,Monterey AI,S22,Active,"['SaaS', 'B2B', 'Productivity', 'AI']",San Francisco,http://www.monterey.ai,https://www.linkedin.com/company/monterey-ai,Turn customer voice to product insights,2,True,False,True,chun-jiang,https://www.linkedin.com/in/chun-jiang,True,High,True,True
