founder_name,company_id,company_name,batch,status,tags,location,website,company_linkedin,short_description,num_founders
['Ben Sender'],28094,Constant,W23,Active,"['Fintech', 'Marketplace', 'B2B', 'Investing']",New York,https://useconstant.com,https://www.linkedin.com/company/useconstant,Private credit investment platform,1
['Benjamin Garvey',28093,Common Paper,W23,Active,"['SaaS', 'Open Source', 'Sales', 'LegalTech', 'API']","Philadelphia, PA",https://commonpaper.com/,https://www.linkedin.com/company/common-paper,The SAFE for commercial contracts,2
'Jake Stein'],28093,Common Paper,W23,Active,"['SaaS', 'Open Source', 'Sales', 'LegalTech', 'API']","Philadelphia, PA",https://commonpaper.com/,https://www.linkedin.com/company/common-paper,The SAFE for commercial contracts,2
['Catherine Jiang'],28092,Dill,W23,Active,[],,https://usedill.com/,,Dill is a digital invoicing tool for foodservice distributors,1
['Ani Gottiparthy',28091,DealPage,W23,Active,"['Documents', 'B2B', 'Sales', 'Sales Enablement', 'AI']",New York,https://www.dealpage.ai/,https://www.linkedin.com/company/dealpageai/,AI-Powered RFP and Security Questionnaire Software,2
'Andrew Luo'],28091,DealPage,W23,Active,"['Documents', 'B2B', 'Sales', 'Sales Enablement', 'AI']",New York,https://www.dealpage.ai/,https://www.linkedin.com/company/dealpageai/,AI-Powered RFP and Security Questionnaire Software,2
['Luis Huertas',28090,Littio,W23,Active,"['Fintech', 'Crypto / Web3']","Bogotá, Colombia",https://www.littio.co/,https://www.linkedin.com/company/littio-co/,Dollar banking for people in Latin America,4
'Camilo Jimenez',28090,Littio,W23,Active,"['Fintech', 'Crypto / Web3']","Bogotá, Colombia",https://www.littio.co/,https://www.linkedin.com/company/littio-co/,Dollar banking for people in Latin America,4
'Ivan Torroledo',28090,Littio,W23,Active,"['Fintech', 'Crypto / Web3']","Bogotá, Colombia",https://www.littio.co/,https://www.linkedin.com/company/littio-co/,Dollar banking for people in Latin America,4
'Christian Knudsen'],28090,Littio,W23,Active,"['Fintech', 'Crypto / Web3']","Bogotá, Colombia",https://www.littio.co/,https://www.linkedin.com/company/littio-co/,Dollar banking for people in Latin America,4
['Yuheng Wang',28089,Thread,W23,Active,"['Artificial Intelligence', 'Developer Tools', 'B2B', 'Enterprise', 'DevOps']",San Francisco,http://www.usethread.io,https://www.linkedin.com/company/thread-incorporated/, Incident Management platform for large enterprises,3
'Harsha Vankayalapati',28089,Thread,W23,Active,"['Artificial Intelligence', 'Developer Tools', 'B2B', 'Enterprise', 'DevOps']",San Francisco,http://www.usethread.io,https://www.linkedin.com/company/thread-incorporated/, Incident Management platform for large enterprises,3
'Akeem Williams'],28089,Thread,W23,Active,"['Artificial Intelligence', 'Developer Tools', 'B2B', 'Enterprise', 'DevOps']",San Francisco,http://www.usethread.io,https://www.linkedin.com/company/thread-incorporated/, Incident Management platform for large enterprises,3
['Maxwell Obi',28088,Waza,W23,Active,"['Fintech', 'Payments', 'B2B', 'Emerging Markets']","Lagos, Nigeria",https://waza.co/,https://www.linkedin.com/company/wazahq,B2B payments platform for emerging markets.,2
'Emmanuel Igbodudu'],28088,Waza,W23,Active,"['Fintech', 'Payments', 'B2B', 'Emerging Markets']","Lagos, Nigeria",https://waza.co/,https://www.linkedin.com/company/wazahq,B2B payments platform for emerging markets.,2
['Adam Ingwersen',28082,Sorted,W23,Active,"['SaaS', 'B2B', 'Productivity', 'Collaboration', 'Subscriptions']",San Francisco,https://www.sorted.tools,https://www.linkedin.com/company/sortedtools/,Instant SaaS management,2
'Frederik Ingwersen'],28082,Sorted,W23,Active,"['SaaS', 'B2B', 'Productivity', 'Collaboration', 'Subscriptions']",San Francisco,https://www.sorted.tools,https://www.linkedin.com/company/sortedtools/,Instant SaaS management,2
['Nicholas Kissel',28087,Rivet,W23,Active,"['SaaS', 'B2B', 'Gaming', 'Social']",San Francisco,https://rivet.gg,https://www.linkedin.com/company/rivet-gg,Heroku for multiplayer games,2
'Nathaniel Flurry'],28087,Rivet,W23,Active,"['SaaS', 'B2B', 'Gaming', 'Social']",San Francisco,https://rivet.gg,https://www.linkedin.com/company/rivet-gg,Heroku for multiplayer games,2
['Stefan Krawczyk',28081,DAGWorks Inc.,W23,Active,"['Developer Tools', 'Machine Learning', 'B2B', 'Open Source', 'Data Engineering']",San Francisco,https://dagworks.io/,https://www.linkedin.com/company/dagworks-inc/,Unifying Platform Layer for Data & ML Pipelines,2
'Elijah Ben Izzy'],28081,DAGWorks Inc.,W23,Active,"['Developer Tools', 'Machine Learning', 'B2B', 'Open Source', 'Data Engineering']",San Francisco,https://dagworks.io/,https://www.linkedin.com/company/dagworks-inc/,Unifying Platform Layer for Data & ML Pipelines,2
['Collin Schneider',28080,Swishjam,W23,Active,"['Developer Tools', 'SaaS', 'B2B']","Los Angeles, CA",https://swishjam.com,https://www.linkedin.com/company/swishjam,Open-source page speed tools to help you build incredible experiences,2
'Zachary Zimbler'],28080,Swishjam,W23,Active,"['Developer Tools', 'SaaS', 'B2B']","Los Angeles, CA",https://swishjam.com,https://www.linkedin.com/company/swishjam,Open-source page speed tools to help you build incredible experiences,2
['Juan Moliner Malaxechevarría',28079,Invopop,W23,Active,"['FinOps', 'Fintech', 'Compliance']",San Francisco,https://www.invopop.com/,https://www.linkedin.com/company/invopop/,We help global software companies comply with local tax reporting ,2
'Sam Lown'],28079,Invopop,W23,Active,"['FinOps', 'Fintech', 'Compliance']",San Francisco,https://www.invopop.com/,https://www.linkedin.com/company/invopop/,We help global software companies comply with local tax reporting ,2
['Saif Farooqui'],28077,CorgiAI,W23,Active,[],,https://www.corgiai.net,https://www.linkedin.com/company/corgiai,"CorgiAI is payment fraud prevention software for ecommerce, travel…",1
['Bob Criner',28075,Stralis Aircraft,W23,Active,"['Hard Tech', 'Hydrogen Energy', 'Airplanes', 'Climate', 'Electric Vehicles']","Brisbane, Australia",https://stralis.aero/,https://www.linkedin.com/company/stralis-aircraft/,Emission free hydrogen electric aircraft,2
