founder_name,company_id,company_name,batch,status,tags,location,website,company_linkedin,short_description,num_founders,is_ai,is_devtools,is_saas,linkedin_slug,linkedin_profile_estimated,has_company_linkedin,linkedin_confidence,is_recent_batch,is_priority_industry
Thomas Moore,26703,Bend,S22,Active,"['Fintech', 'Sustainability', 'Climate']",New York,https://usebend.com/,https://www.linkedin.com/company/usebend/,The modern corporate card built for climate-friendly business,2,True,False,False,thomas-moore,https://www.linkedin.com/in/thomas-moore,True,High,True,True
Gaurav Aggarwal,26690,Immuna,S22,Active,"['Artificial Intelligence', 'DeFi', 'SaaS', 'Crypto / Web3', 'B2B']",San Francisco,http://immuna.xyz,,Risk mitigation platform for crypto investors,2,True,False,True,gaurav-aggarwal,https://www.linkedin.com/in/gaurav-aggarwal,False,Medium,True,True
Anuja Verma,26690,Immuna,S22,Active,"['Artificial Intelligence', 'DeFi', 'SaaS', 'Crypto / Web3', 'B2B']",San Francisco,http://immuna.xyz,,Risk mitigation platform for crypto investors,2,True,False,True,anuja-verma,https://www.linkedin.com/in/anuja-verma,False,Medium,True,True
Ashish Agarwal,26693,PayO,S22,Active,"['Fintech', 'SaaS', 'Payments', 'B2B', 'Neobank']","Bengaluru, India",https://www.payobank.in,https://www.linkedin.com/company/payoindia,Accounting and payment app for wholesalers and distributors in India,2,False,False,True,ashish-agarwal,https://www.linkedin.com/in/ashish-agarwal,True,High,True,True
Pratik Mundra,26693,PayO,S22,Active,"['Fintech', 'SaaS', 'Payments', 'B2B', 'Neobank']","Bengaluru, India",https://www.payobank.in,https://www.linkedin.com/company/payoindia,Accounting and payment app for wholesalers and distributors in India,2,False,False,True,pratik-mundra,https://www.linkedin.com/in/pratik-mundra,True,High,True,True
Agni Bhattacharya,26681,Alma Financial,S22,Active,[],"Seattle, WA",https://www.myalmafi.com,,A neobank improving financial health through behavioral economics,1,False,False,False,agni-bhattacharya,https://www.linkedin.com/in/agni-bhattacharya,False,Medium,True,False
Rohan Doshi,26676,Penguin AI,S22,Active,"['Generative AI', 'SaaS', 'B2B', 'Design Tools', 'Marketing']",San Francisco,http://penguinai.app,,The Creative Assistant for Marketing Teams,1,True,False,True,rohan-doshi,https://www.linkedin.com/in/rohan-doshi,False,Medium,True,True
Ross Geiger,26671,Ciro,S22,Active,"['SaaS', 'B2B', 'Sales', 'SMB']",San Francisco,https://www.ciro.io/,https://www.linkedin.com/company/ciro-io/,SMB search engine for sales teams 🔍,3,False,False,True,ross-geiger,https://www.linkedin.com/in/ross-geiger,True,High,True,True
Richard Lee,26671,Ciro,S22,Active,"['SaaS', 'B2B', 'Sales', 'SMB']",San Francisco,https://www.ciro.io/,https://www.linkedin.com/company/ciro-io/,SMB search engine for sales teams 🔍,3,False,False,True,richard-lee,https://www.linkedin.com/in/richard-lee,True,High,True,True
David Winer,26671,Ciro,S22,Active,"['SaaS', 'B2B', 'Sales', 'SMB']",San Francisco,https://www.ciro.io/,https://www.linkedin.com/company/ciro-io/,SMB search engine for sales teams 🔍,3,False,False,True,david-winer,https://www.linkedin.com/in/david-winer,True,High,True,True
James Thomas,26673,Questa,S22,Active,"['Generative AI', 'SaaS', 'Analytics', 'AI']",Palo Alto,https://www.questadata.com,,Just ask your data warehouse,3,True,False,True,james-thomas,https://www.linkedin.com/in/james-thomas,False,Medium,True,True
Tejas Sundaresan,26673,Questa,S22,Active,"['Generative AI', 'SaaS', 'Analytics', 'AI']",Palo Alto,https://www.questadata.com,,Just ask your data warehouse,3,True,False,True,tejas-sundaresan,https://www.linkedin.com/in/tejas-sundaresan,False,Medium,True,True
Tony Ginart,26673,Questa,S22,Active,"['Generative AI', 'SaaS', 'Analytics', 'AI']",Palo Alto,https://www.questadata.com,,Just ask your data warehouse,3,True,False,True,tony-ginart,https://www.linkedin.com/in/tony-ginart,False,Medium,True,True
Johan Kers,26675,Birch Biosciences,S22,Active,"['Machine Learning', 'Synthetic Biology', 'Biotech', 'Climate', 'ClimateTech']","Portland, OR",http://www.birchbiosciences.com,https://www.linkedin.com/company/birch-biosciences-llc,We recycle plastic using engineered enzymes,1,True,False,False,johan-kers,https://www.linkedin.com/in/johan-kers,True,High,True,False
Rahul Sonwalkar,26670,LiveTrucks,S22,Active,"['Logistics', 'Supply Chain']",San Francisco,http://livetrucks.io,,Real-time visibility and alerting for Freight,2,True,False,False,rahul-sonwalkar,https://www.linkedin.com/in/rahul-sonwalkar,False,Medium,True,True
Tanuj Tiwari,26670,LiveTrucks,S22,Active,"['Logistics', 'Supply Chain']",San Francisco,http://livetrucks.io,,Real-time visibility and alerting for Freight,2,True,False,False,tanuj-tiwari,https://www.linkedin.com/in/tanuj-tiwari,False,Medium,True,True
Dayton Thorpe,26669,Mercator,S22,Active,"['SaaS', 'Geographic Information System', 'B2B']",San Francisco,http://www.mercator.tech,https://www.linkedin.com/company/mercator-tech,Geospatial analytics made easy,2,False,False,True,dayton-thorpe,https://www.linkedin.com/in/dayton-thorpe,True,High,True,True
Andrew Duberstein,26669,Mercator,S22,Active,"['SaaS', 'Geographic Information System', 'B2B']",San Francisco,http://www.mercator.tech,https://www.linkedin.com/company/mercator-tech,Geospatial analytics made easy,2,False,False,True,andrew-duberstein,https://www.linkedin.com/in/andrew-duberstein,True,High,True,True
Utkarsh Tandon,26668,Elessar,S22,Active,['Productivity'],Palo Alto,https://www.getelessar.com/,,AI-powered engineering productivity tools,1,False,False,False,utkarsh-tandon,https://www.linkedin.com/in/utkarsh-tandon,False,Medium,True,False
Emmanuel Turlay,26666,Sematic,S22,Active,"['AIOps', 'Developer Tools', 'Machine Learning', 'SaaS', 'Open Source']",San Francisco,https://sematic.dev,https://www.linkedin.com/company/sematic-ai/,Open-source ML development platform,1,True,True,True,emmanuel-turlay,https://www.linkedin.com/in/emmanuel-turlay,True,High,True,True
Ryan Endacott,26667,SolStar,S22,Active,"['Fintech', 'Crypto / Web3', 'Consumer', 'Community', 'No-code']","Monterey, CA",https://solstar.finance,,Buy and send crypto to friends on Discord.,2,False,False,False,ryan-endacott,https://www.linkedin.com/in/ryan-endacott,False,Medium,True,False
Drew Wetherington,26667,SolStar,S22,Active,"['Fintech', 'Crypto / Web3', 'Consumer', 'Community', 'No-code']","Monterey, CA",https://solstar.finance,,Buy and send crypto to friends on Discord.,2,False,False,False,drew-wetherington,https://www.linkedin.com/in/drew-wetherington,False,Medium,True,False
Amey Chaugule,26663,Probably Nothing Labs,S22,Active,['web3'],San Francisco,http://probablynothinglabs.xyz,https://www.linkedin.com/company/probably-nothing-labs,Databricks for Web3,2,False,False,False,amey-chaugule,https://www.linkedin.com/in/amey-chaugule,True,High,True,False
Matt Green,26663,Probably Nothing Labs,S22,Active,['web3'],San Francisco,http://probablynothinglabs.xyz,https://www.linkedin.com/company/probably-nothing-labs,Databricks for Web3,2,False,False,False,matt-green,https://www.linkedin.com/in/matt-green,True,High,True,False
Eric Yen,26661,Stream,S22,Active,"['Fintech', 'SaaS', 'B2B', 'Insurance']",New York,http://www.stream.claims,https://www.linkedin.com/company/streamclaims/,Smart automation for insurance claims,2,False,False,True,eric-yen,https://www.linkedin.com/in/eric-yen,True,High,True,True
